# r_minor                R                      currdens               B_tor                  B_theta                Psi_N                  
# time step #000000
  1.641250440008554E-01  1.001531054411077E+01  8.962103453118011E+04  9.986061444102780E-01  9.460753866338371E-03  3.888206195719997E-02
  1.662367975268220E-01  1.001525758098978E+01  8.952889485613964E+04  9.986149191885166E-01  9.577645358349204E-03  3.987896894723902E-02
  1.683231216643192E-01  1.001520458770571E+01  8.943675336755293E+04  9.986236989596043E-01  9.692949165178259E-03  4.087588272349298E-02
  1.703849425511919E-01  1.001515153126462E+01  8.934461274389572E+04  9.986324867772168E-01  9.806718105304139E-03  4.187277719743572E-02
  1.724231255373375E-01  1.001509844565070E+01  8.925247208101240E+04  9.986412794376446E-01  9.919005890641736E-03  4.286965923655107E-02
  1.744385354578465E-01  1.001504530468571E+01  8.916032954807105E+04  9.986500795610944E-01  1.002986490348702E-02  4.386655076736765E-02
  1.764319505512947E-01  1.001499217408795E+01  8.906818477351419E+04  9.986588806994134E-01  1.013934171892100E-02  4.486345015089985E-02
  1.784041312900575E-01  1.001493900961654E+01  8.897603697181557E+04  9.986676872447640E-01  1.024748171573339E-02  4.586036964740263E-02
  1.803556606184263E-01  1.001488578138867E+01  8.888389173774084E+04  9.986765018958491E-01  1.035432079370261E-02  4.685725150472825E-02
  1.822873833581403E-01  1.001483255305960E+01  8.879173988711061E+04  9.986853187651888E-01  1.045990873715712E-02  4.785418922534115E-02
  1.841997483080214E-01  1.001477925869534E+01  8.869959032069780E+04  9.986941440400174E-01  1.056427384141848E-02  4.885109256181514E-02
  1.860934425268324E-01  1.001472588713957E+01  8.860744159913744E+04  9.987029788026930E-01  1.066745338925153E-02  4.984797785133212E-02
  1.879690538565016E-01  1.001467251172205E+01  8.851528967009924E+04  9.987118160355671E-01  1.076948520668426E-02  5.084488258271026E-02
  1.898270092346494E-01  1.001461907262814E+01  8.842314034871821E+04  9.987206613923458E-01  1.087039603426444E-02  5.184174912412279E-02
  1.916679696754897E-01  1.001456564326745E+01  8.833098568411981E+04  9.987295079947484E-01  1.097022477314591E-02  5.283865699326294E-02
  1.934924103037736E-01  1.001451218482660E+01  8.823882640958838E+04  9.987383595709680E-01  1.106900017800623E-02  5.383560148030871E-02
  1.953006300367410E-01  1.001445864685619E+01  8.814667126049970E+04  9.987472207954854E-01  1.116674125413654E-02  5.483249271188253E-02
  1.970931970205190E-01  1.001440513721719E+01  8.805451320695016E+04  9.987560813135339E-01  1.126348136019389E-02  5.582939745687328E-02
  1.988705390400495E-01  1.001435151891087E+01  8.796235351109471E+04  9.987649545733362E-01  1.135924619497211E-02  5.682631340373939E-02
  2.006330209680303E-01  1.001429786187617E+01  8.787019607412633E+04  9.987738335223733E-01  1.145405572669345E-02  5.782319273114565E-02
  2.023811038601163E-01  1.001424418655382E+01  8.777803454618211E+04  9.987827164223211E-01  1.154793945030172E-02  5.882010216620009E-02
  2.041150235914029E-01  1.001419043219448E+01  8.768587646359044E+04  9.987916089249070E-01  1.164091267049884E-02  5.981696544865762E-02
  2.058353601547332E-01  1.001413673359691E+01  8.759370897119527E+04  9.988004983392959E-01  1.173300869410245E-02  6.081391013759706E-02
  2.075422182074326E-01  1.001408294390506E+01  8.750154562594992E+04  9.988093985143914E-01  1.182423614708104E-02  6.181080206146139E-02
  2.092360510367830E-01  1.001402911944076E+01  8.740937927067874E+04  9.988183042105629E-01  1.191462158297270E-02  6.280771373432141E-02
  2.109171515923601E-01  1.001397531816560E+01  8.731721068327663E+04  9.988272097659656E-01  1.200418243343350E-02  6.380463219341680E-02
  2.125857723990796E-01  1.001392134426211E+01  8.722504558446484E+04  9.988361340584089E-01  1.209293318794112E-02  6.480151133006361E-02
  2.142423709802356E-01  1.001386742646340E+01  8.713287388205226E+04  9.988450551925196E-01  1.218089928914022E-02  6.579844171574756E-02
